sentence,original_label,original_book,book_Anna_Karenina,naive_Anna_Karenina,book_Frankenstein,naive_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,naive_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights,naive_Wuthering_Heights
"Now, before I tell you whether it was a consent or denial, you tell me which it ought to have been.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Continuing thus, I came at length opposite to the inn at which the various diligences and carriages usually stopped.",3,Frankenstein,0,0,1,1,0,0,0,0
"she thought, looking in the looking-glass at the swollen face with strangely glittering eyes, that looked in a scared way at her.",1,Anna Karenina,1,1,0,0,0,0,1,0
It s it s a very fine day!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
We were recalled by a scream.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Excuse me, wait a little, your excellency; I ll just see, he said, and overtaking her, he opened the high door and disappeared behind it.",1,Anna Karenina,1,1,0,0,0,0,1,0
R.W.,3,Frankenstein,0,0,1,1,0,0,0,0
I m not late?,1,Anna Karenina,1,1,0,0,0,0,1,0
"Not so my companion: she ran back in terror, knelt down, and cried, and soothed, and entreated, till he grew quiet from lack of breath: by no means from compunction at distressing her.",2,Wuthering Heights,1,0,0,0,0,0,1,1
"Here, he said, into the parlour?",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Was man, indeed, at once so powerful, so virtuous and magnificent, yet so vicious and base?",3,Frankenstein,0,0,1,1,0,0,0,0
said the old man.,3,Frankenstein,1,0,1,1,0,0,1,0
The only joy that he can now know will be when he composes his shattered spirit to peace and death.,3,Frankenstein,0,0,1,1,0,0,0,0
"Learn from me, dear lady, to submit in patience to the will of heaven!",3,Frankenstein,0,0,1,1,0,0,0,0
"As she said that she sighed, and her face suddenly taking a hard expression, looked as it were turned to stone.",1,Anna Karenina,1,1,0,0,1,0,1,0
Where are you going to?,1,Anna Karenina,1,1,0,0,1,0,1,0
"I was at first touched by the expressions of his misery; yet, when I called to mind what Frankenstein had said of his powers of eloquence and persuasion, and when I again cast my eyes on the lifeless form of my friend, indignation was rekindled within me.",3,Frankenstein,1,0,1,1,0,0,1,0
"he answered, following her eye and snatching away his hand.",2,Wuthering Heights,1,0,0,0,0,0,1,1
What fun!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
I saw him too; he was free last night!,3,Frankenstein,0,0,1,1,0,0,0,0
"He has frequently conversed with me on mine, which I have communicated to him without disguise.",3,Frankenstein,0,0,1,1,0,0,0,0
"Alice was very glad to find her in such a pleasant temper, and thought to herself that perhaps it was only the pepper that had made her so savage when they met in the kitchen.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
What sort of a dance is it?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Early in the morning, before she had risen, he cleared away the snow that obstructed her path to the milk-house, drew water from the well, and brought the wood from the outhouse, where, to his perpetual astonishment, he found his store always replenished by an invisible hand.",3,Frankenstein,0,0,1,1,0,0,0,0
"She snatched at the instrument, and half succeeded in getting it out of his loosened fingers: but her action recalled him to the present; he recovered it speedily.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"He talked and looked at her laughing eyes, which frightened him now with their impenetrable look, and, as he talked, he felt all the uselessness and idleness of his words.",1,Anna Karenina,1,1,0,0,0,0,1,0
"That hour passed, the sun mounted high in the heavens, but the cottagers did not appear.",3,Frankenstein,1,0,1,1,0,0,0,0
"The banks of the Thames presented a new scene; they were flat but fertile, and almost every town was marked by the remembrance of some story.",3,Frankenstein,0,0,1,1,0,0,0,0
"I entreated, and finally attempted to force her to retire.",2,Wuthering Heights,0,0,0,0,0,0,1,1
How should _I_ know?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Such were the events that preyed on the heart of Felix and rendered him, when I first saw him, the most miserable of his family.",3,Frankenstein,0,0,1,1,0,0,0,0
But this was a luxury of sensation that could not endure; I became fatigued with excess of bodily exertion and sank on the damp grass in the sick impotence of despair.,3,Frankenstein,0,0,1,1,0,0,1,0
What a number of cucumber-frames there must be!,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"He felt that if he admitted that, it would be proved that he had been talking meaningless rubbish.",1,Anna Karenina,1,1,0,0,0,0,1,0
"She had no temptation for such an action; as to the bauble on which the chief proof rests, if she had earnestly desired it, I should have willingly given it to her, so much do I esteem and value her.",3,Frankenstein,1,0,1,1,0,0,0,0
"I had before regarded my promise with a gloomy despair as a thing that, with whatever consequences, must be fulfilled; but I now felt as if a film had been taken from before my eyes and that I for the first time saw clearly.",3,Frankenstein,0,0,1,1,0,0,0,0
"The window, however, was narrow, like those below, and the garret trap was safe from our attempts; for we were fastened in as before.",2,Wuthering Heights,0,0,0,0,0,0,1,1
It is not pity that you feel; you lament only because the victim of your malignity is withdrawn from your power.,3,Frankenstein,0,0,1,1,0,0,0,0
"Nay, if you nurse anger, that will be worse to remember than my harsh words!",2,Wuthering Heights,1,0,1,0,0,0,1,1
"Alice said nothing; she had sat down with her face in her hands, wondering if anything would _ever_ happen in a natural way again.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Hallo!,2,Wuthering Heights,1,0,0,0,1,0,1,1
What!,0,The Adventures of Alice in Wonderland,1,0,1,0,1,1,1,0
It s very short.,1,Anna Karenina,1,1,0,0,0,0,1,0
"Levin arrived in Moscow always excited and in a hurry, rather ill at ease and irritated by his own want of ease, and for the most part with a perfectly new, unexpected view of things.",1,Anna Karenina,1,1,0,0,0,0,0,0
The other letter was from his sister.,1,Anna Karenina,1,1,0,0,0,0,1,0
"(Which he certainly did _not_, being made entirely of cardboard.)",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"But my plan was unsettled, and I wandered many hours round the confines of the town, uncertain what path I should pursue.",3,Frankenstein,0,0,1,1,0,0,0,0
Is she here?,2,Wuthering Heights,1,0,0,0,0,0,1,1
The astonishment which I had at first experienced on this discovery soon gave place to delight and rapture.,3,Frankenstein,0,0,1,1,0,0,0,0
In the end he pronounced it thuffering.,1,Anna Karenina,1,1,0,0,1,0,1,0
"Oh, how I wish I could shut up like a telescope!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Yes, she answered, without altering the direction of her eyes.",2,Wuthering Heights,1,0,0,0,1,0,1,1
"Do your duty towards me, and I will do mine towards you and the rest of mankind.",3,Frankenstein,0,0,1,1,0,0,0,0
And in that tone it was impossible to say what needed to be said to her.,1,Anna Karenina,1,1,0,0,1,0,1,0
I am so glad!,1,Anna Karenina,1,1,0,0,0,0,1,0
"you mustn t go and leave, after all.",2,Wuthering Heights,1,0,0,0,0,0,1,1
was the first word the spirit of falsehood prompted her to utter; and now we ll go together.,1,Anna Karenina,1,1,0,0,0,0,1,0
"she did, she did!",2,Wuthering Heights,1,0,0,0,1,0,1,1
"She busied herself with following the aerial creations of the poets; and in the majestic and wondrous scenes which surrounded our Swiss home the sublime shapes of the mountains, the changes of the seasons, tempest and calm, the silence of winter, and the life and turbulence of our Alpine summers she found ample scope for admiration and delight.",3,Frankenstein,0,0,1,1,0,0,0,0
"I cannot doubt it, yet I am lost in surprise and admiration.",3,Frankenstein,0,0,1,1,0,0,0,0
"And there rose again before her imagination the cruel memory, that always tore her mother s heart, of the death of her last little baby, who had died of croup; his funeral, the callous indifference of all at the little pink coffin, and her own torn heart, and her lonely anguish at the sight of the pale little brow with its projecting temples, and the open, wondering little mouth seen in the coffin at the moment when it was being covered with the little pink lid with a cross braided on it.",1,Anna Karenina,1,1,0,0,0,0,1,0
"said Kitty, looking into her face with inquisitive wonder.",1,Anna Karenina,1,1,0,0,1,0,0,0
And I will let you alone!,1,Anna Karenina,1,1,0,0,1,0,1,0
"I m going away, I m going away.",1,Anna Karenina,1,1,0,0,0,0,1,0
"It looked good-natured, she thought: still it had _very_ long claws and a great many teeth, so she felt that it ought to be treated with respect.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"You have travelled; you have spent several years of your life at Ingolstadt; and I confess to you, my friend, that when I saw you last autumn so unhappy, flying to solitude from the society of every creature, I could not help supposing that you might regret our connection and believe yourself bound in honour to fulfil the wishes of your parents, although they opposed themselves to your inclinations.",3,Frankenstein,0,0,1,1,0,0,0,0
"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purpose a point on which the soul may fix its intellectual eye.",3,Frankenstein,0,0,1,1,0,0,0,0
Sometimes I have endeavoured to discover what quality it is which he possesses that elevates him so immeasurably above any other person I ever knew.,3,Frankenstein,0,0,1,1,0,0,0,0
"he said, knocking one foot against the other to shake the snow off.",1,Anna Karenina,1,1,0,0,0,0,1,0
"The Alps here come closer to the lake, and we approached the amphitheatre of mountains which forms its eastern boundary.",3,Frankenstein,0,0,1,1,0,0,0,0
"Yes, yes, that s how it is, sir!",1,Anna Karenina,1,1,0,0,1,0,1,0
The door opened and Kitty appeared.,1,Anna Karenina,1,1,0,0,1,0,0,0
She thinks I m sorry for her.,1,Anna Karenina,1,1,0,0,0,0,1,0
"Every night I was oppressed by a slow fever, and I became nervous to a most painful degree; the fall of a leaf startled me, and I shunned my fellow creatures as if I had been guilty of a crime.",3,Frankenstein,0,0,1,1,0,0,0,0
"This city had remained faithful to him, after the whole nation had forsaken his cause to join the standard of Parliament and liberty.",3,Frankenstein,0,0,1,1,0,0,0,0
It began oddly.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"Come, that s enough, that s enough!",1,Anna Karenina,1,1,0,0,1,0,1,0
"He is not coming, I interposed, framing a bit of a lie.",2,Wuthering Heights,1,0,0,0,0,0,1,1
said the Dormouse indignantly.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
I don t care I will get in!,2,Wuthering Heights,0,0,0,0,0,0,1,1
tell me that.,2,Wuthering Heights,1,0,1,0,0,0,1,1
Nor-ne me!,2,Wuthering Heights,1,0,0,0,1,0,1,1
"Are you mad, my friend?",3,Frankenstein,0,0,1,1,1,0,0,0
"I thought it was morning; and I had set out on my way home, with Joseph for a guide.",2,Wuthering Heights,0,0,0,0,0,0,1,1
he was our darling and our pride!,3,Frankenstein,1,0,1,1,0,0,0,0
"Yes, it is true, it is true ... now!",1,Anna Karenina,1,1,0,0,0,0,1,0
"Tears, unrestrained, fell from my brother s eyes; a sense of mortal agony crept over my frame.",3,Frankenstein,1,0,1,1,0,0,0,0
Because it was all a sham!,1,Anna Karenina,1,1,0,0,0,0,1,0
"Beyond Cologne we descended to the plains of Holland; and we resolved to post the remainder of our way, for the wind was contrary and the stream of the river was too gentle to aid us.",3,Frankenstein,0,0,1,1,0,0,0,0
"No, they are French.",3,Frankenstein,1,0,1,1,0,0,0,0
"But this was not the time for delay; I disencumbered the dogs of their dead companion, gave them a plentiful portion of food, and after an hour s rest, which was absolutely necessary, and yet which was bitterly irksome to me, I continued my route.",3,Frankenstein,0,0,1,1,0,0,0,0
"On the third day my mother sickened; her fever was accompanied by the most alarming symptoms, and the looks of her medical attendants prognosticated the worst event.",3,Frankenstein,0,0,1,1,0,0,0,0
What did he there?,3,Frankenstein,1,0,1,1,0,0,0,0
An awfully terrible person!,1,Anna Karenina,1,1,0,0,0,0,1,0
"It must be a very pretty dance, said Alice timidly.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
By whom?,1,Anna Karenina,1,1,0,0,0,0,1,0
He shrugged his shoulders with an air of perplexity and despair.,1,Anna Karenina,1,1,0,0,0,0,1,0
Lord help me!,1,Anna Karenina,1,1,0,0,0,0,1,0
As you like.,1,Anna Karenina,1,1,0,0,1,0,0,0
"Winter, spring, and summer passed away during my labours; but I did not watch the blossom or the expanding leaves sights which before always yielded me supreme delight so deeply was I engrossed in my occupation.",3,Frankenstein,0,0,1,1,0,0,0,0
I ll make it all right.,1,Anna Karenina,1,1,0,0,0,0,0,0
"He saw the smile, and a strange misapprehension came over him.",1,Anna Karenina,1,1,1,0,0,0,1,0
But I ll try.,1,Anna Karenina,1,1,0,0,0,0,1,0
Leave me in peace!,1,Anna Karenina,1,1,1,0,1,0,1,0
"One by one, her brothers and sister died; and her mother, with the exception of her neglected daughter, was left childless.",3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, I said: for your sake.",1,Anna Karenina,1,1,0,0,0,0,1,0
But what am _I_ to do?,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
he repeated.,2,Wuthering Heights,1,0,0,0,1,0,1,1
"asked the mistress, in a tone particularly calculated to provoke her husband, implying both carelessness and contempt of his irritation.",2,Wuthering Heights,1,0,0,0,0,0,1,1
Silence!,2,Wuthering Heights,1,0,0,0,1,0,1,1
he repeated to himself.,1,Anna Karenina,1,1,0,0,0,0,1,0
"It was the _best_ butter, the March Hare meekly replied.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Sergey Ivanovitch was all the while admiring the beauty of the woods, which were a tangled mass of leaves, pointing out to his brother now an old lime tree on the point of flowering, dark on the shady side, and brightly spotted with yellow stipules, now the young shoots of this year s saplings brilliant with emerald.",1,Anna Karenina,1,1,0,0,0,0,0,0
"And what, Margaret, will be the state of your mind?",3,Frankenstein,0,0,1,1,0,0,0,0
"Devil, I exclaimed, do you dare approach me?",3,Frankenstein,0,0,1,1,0,0,0,0
"I feel yet parched with horror, nor can I reflect on that terrible moment without shuddering and agony.",3,Frankenstein,0,0,1,1,0,0,1,0
With extras?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"He s in the garden by this time, and impatient to know what answer I shall bring.",2,Wuthering Heights,1,0,0,0,0,0,1,1
The monster saw my determination in my face and gnashed his teeth in the impotence of anger.,3,Frankenstein,0,0,1,1,0,0,0,0
said the Caterpillar sternly.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"M. Waldman inflicted torture when he praised, with kindness and warmth, the astonishing progress I had made in the sciences.",3,Frankenstein,0,0,1,1,0,0,0,0
"In this state I was carried back and placed on a bed, hardly conscious of what had happened; my eyes wandered round the room as if to seek something that I had lost.",3,Frankenstein,0,0,1,1,0,0,1,0
"All his efforts to draw her into open discussion she confronted with a barrier which he could not penetrate, made up of a sort of amused perplexity.",1,Anna Karenina,1,1,0,0,0,0,0,0
"I fear, my friend, that I shall render myself tedious by dwelling on these preliminary circumstances; but they were days of comparative happiness, and I think of them with pleasure.",3,Frankenstein,0,0,1,1,0,0,0,0
Damn you all!,2,Wuthering Heights,1,0,0,0,0,0,1,1
that s dreadful!,2,Wuthering Heights,1,0,1,0,1,0,1,1
"Like Adam, I was apparently united by no link to any other being in existence; but his state was far different from mine in every other respect.",3,Frankenstein,0,0,1,1,0,0,0,0
"No, I ll not promise, I repeated.",2,Wuthering Heights,1,0,0,0,0,0,1,1
Where do these friends reside?,3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, I m not hungry.",1,Anna Karenina,1,1,0,0,0,0,1,0
"You had mentioned Geneva as the name of your native town, and towards this place I resolved to proceed.",3,Frankenstein,0,0,1,1,0,0,0,0
But what happens when you come to the beginning again?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"They found a miserable asylum in the cottage in Germany, where I discovered them.",3,Frankenstein,0,0,1,1,0,0,0,0
"No, they won t. I ll answer for that, said Kitty, looking into his face with a laugh.",1,Anna Karenina,1,1,0,0,1,0,0,0
"I am very, very glad to see you, he went on.",1,Anna Karenina,1,1,0,0,0,0,1,0
"I speak French, and you must too.",1,Anna Karenina,1,1,1,0,0,0,0,0
All right.,1,Anna Karenina,1,1,0,0,1,0,1,0
"Sometimes my pulse beat so quickly and hardly that I felt the palpitation of every artery; at others, I nearly sank to the ground through languor and extreme weakness.",3,Frankenstein,0,0,1,1,0,0,0,0
What will become of her?,2,Wuthering Heights,1,0,0,0,0,0,1,1
"I dared hardly lift my eyes from the page before me, that melancholy scene so instantly usurped its place.",2,Wuthering Heights,0,0,1,0,0,0,1,1
And how absurd he is!,1,Anna Karenina,1,1,0,0,0,0,1,0
"Almost spent, as I was, by fatigue and the dreadful suspense I endured for several hours, this sudden certainty of life rushed like a flood of warm joy to my heart, and tears gushed from my eyes.",3,Frankenstein,0,0,1,1,0,0,1,0
that s interesting.,1,Anna Karenina,1,1,0,0,1,0,0,0
"Oh, damn it!",2,Wuthering Heights,1,0,1,0,1,0,1,1
"she said, giving him her hand.",1,Anna Karenina,1,1,0,0,0,0,1,0
she said aloud.,0,The Adventures of Alice in Wonderland,1,0,1,0,1,1,1,0
I hoped heartily we should have peace now.,2,Wuthering Heights,1,0,0,0,0,0,1,1
"I can t be at peace, when you can t be at peace....",1,Anna Karenina,1,1,1,0,0,0,0,0
"Every minute, continued M. Krempe with warmth, every instant that you have wasted on those books is utterly and entirely lost.",3,Frankenstein,0,0,1,1,0,0,0,0
Who are you?,2,Wuthering Heights,1,0,1,0,1,0,1,1
"He sighed, and flung his head up, and began to feel afraid he could not bear it, that he would burst into tears or run away.",1,Anna Karenina,1,1,0,0,0,0,1,0
Thank Hivin for all!,2,Wuthering Heights,0,0,0,0,0,0,1,1
Justine was called on for her defence.,3,Frankenstein,0,0,1,1,0,0,0,0
"That s different from what _I_ used to say when I was a child, said the Gryphon.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
I m inexcusably happy.,1,Anna Karenina,1,1,0,0,0,0,1,0
An invitation for the Duchess to play croquet.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
I deny it!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"Edwin and Morcar, the earls of Mercia and Northumbria, declared for him: and even Stigand, the patriotic archbishop of Canterbury, found it advisable Found _what_?",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"There never was such a dreary, dismal scene as the formerly cheerful house presented!",2,Wuthering Heights,0,0,0,0,0,0,1,1
None but those who have experienced them can conceive of the enticements of science.,3,Frankenstein,0,0,1,1,0,0,0,0
"He looked up, seized with a sort of surprise at her boldness; or, possibly, reminded, by her voice and glance, of the person from whom she inherited it.",2,Wuthering Heights,1,0,0,0,0,0,1,1
It was midnight.,3,Frankenstein,1,0,1,1,0,0,0,0
There s no such thing!,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
"Oh, so that s it?",1,Anna Karenina,1,1,0,0,1,0,1,0
"Indeed, who would credit that Justine Moritz, who was so amiable, and fond of all the family, could suddenly become so capable of so frightful, so appalling a crime?",3,Frankenstein,0,0,1,1,0,0,0,0
"In the confluence of the multitude, several clubs crossed; blows, aimed at me, fell on other sconces.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"Yes, please do!",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
I don t know.,1,Anna Karenina,1,1,0,0,0,0,1,0
"But for goodness sake don t suppose, her eyes added, that I would force my acquaintance on you, I simply admire you and like you.",1,Anna Karenina,1,1,0,0,0,0,1,0
"Alexey Alexandrovitch saw that she was weeping, and could not control her tears, nor even the sobs that were shaking her bosom.",1,Anna Karenina,1,1,1,0,0,0,1,0
"When she saw once more those composed gestures, heard that shrill, childish, and sarcastic voice, her aversion for him extinguished her pity for him, and she felt only afraid, but at all costs she wanted to make clear her position.",1,Anna Karenina,1,1,0,0,0,0,1,0
"The porter opened the gates of the court, which had that night been my asylum, and I issued into the streets, pacing them with quick steps, as if I sought to avoid the wretch whom I feared every turning of the street would present to my view.",3,Frankenstein,0,0,1,1,0,0,0,0
she thought.,1,Anna Karenina,1,1,0,0,1,0,1,0
How are you getting on?,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"You ll not go, then?",2,Wuthering Heights,1,0,0,0,0,0,1,1
they cried out when they saw Alice coming.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Wake up, Alice dear!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I continued, turning to an obscure cushion full of something like cats.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"All this she said brightly, rapidly, and with a peculiar brilliance in her eyes.",1,Anna Karenina,1,1,0,0,0,0,1,0
But he was silent.,1,Anna Karenina,1,1,1,0,1,0,1,0
_never_?,2,Wuthering Heights,0,0,0,0,1,0,1,1
There it s out!,1,Anna Karenina,1,1,0,0,1,0,1,0
"When I first looked into his face, I perceived that he had got intelligence of the catastrophe; and a foolish notion struck me that his heart was quelled and he prayed, because his lips moved and his gaze was bent on the ground.",2,Wuthering Heights,1,0,1,0,0,0,1,1
"Oh, well, you ve not many sins on your conscience.",1,Anna Karenina,1,1,0,0,0,0,0,0
"Well, good-bye.",1,Anna Karenina,1,1,1,0,1,0,1,0
I hardly know whether I shall have the power to detail it; yet the tale which I have recorded would be incomplete without this final and wonderful catastrophe.,3,Frankenstein,0,0,1,1,0,0,0,0
"His tale is connected and told with an appearance of the simplest truth, yet I own to you that the letters of Felix and Safie, which he showed me, and the apparition of the monster seen from our ship, brought to me a greater conviction of the truth of his narrative than his asseverations, however earnest and connected.",3,Frankenstein,0,0,1,1,0,0,0,0
"she said, and burst into tears.",1,Anna Karenina,1,1,1,0,1,0,1,0
"I don t see, said the Caterpillar.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"And when I received their cold answers and heard the harsh, unfeeling reasoning of these men, my purposed avowal died away on my lips.",3,Frankenstein,0,0,1,1,0,0,0,0
"This letter will reach England by a merchantman now on its homeward voyage from Archangel; more fortunate than I, who may not see my native land, perhaps, for many years.",3,Frankenstein,0,0,1,1,0,0,0,0
There can be no community between you and me; we are enemies.,3,Frankenstein,0,0,1,1,0,0,0,0
"You must not, you must not act in haste!",1,Anna Karenina,1,1,0,0,0,0,1,0
"Above the chimney were sundry villainous old guns, and a couple of horse-pistols: and, by way of ornament, three gaudily painted canisters disposed along its ledge.",2,Wuthering Heights,0,0,0,0,0,0,1,1
"However, everything is queer to-day.",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
He wanted to speak to you.,1,Anna Karenina,1,1,0,0,0,0,1,0
"I panted, quite breathless with quick walking and alarm.",2,Wuthering Heights,0,0,0,0,0,0,1,1
But won t you have some tea?,1,Anna Karenina,1,1,0,0,0,0,1,0
Don t let me hear the name again!,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
said the Cat in a low voice.,0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
"But in giving an account of the progress of my intellect, I must not omit a circumstance which occurred in the beginning of the month of August of the same year.",3,Frankenstein,0,0,1,1,0,0,0,0
"No, I won t take her, she decided.",1,Anna Karenina,1,1,0,0,0,0,1,0
"fetch it here, lad!",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,1,0
you said you cared nothing for my sufferings!,2,Wuthering Heights,0,0,0,0,0,0,1,1
"Amazed and intimidated, she gazed at him in silence.",1,Anna Karenina,1,1,0,0,0,0,1,0
"During my absence I should leave my friends unconscious of the existence of their enemy and unprotected from his attacks, exasperated as he might be by my departure.",3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, nothing; there s not much happiness in life.",1,Anna Karenina,1,1,0,0,0,0,1,0
Her lips trembled so that for a long while she could say nothing.,1,Anna Karenina,1,1,0,0,0,0,1,0
"You are my creator, but I am your master; obey!",3,Frankenstein,0,0,1,1,0,0,1,0
She s a very fascinating woman.,1,Anna Karenina,1,1,1,0,0,0,0,0
What were rain and storm to me?,3,Frankenstein,0,0,1,1,0,0,1,0
"And remember that I love you, and shall always love you as my dearest friend!",1,Anna Karenina,1,1,1,0,0,0,1,0
You _shall_ stay: now then!,2,Wuthering Heights,1,0,0,0,0,0,1,1
What a miserable night I passed!,3,Frankenstein,0,0,1,1,0,0,1,0
"Thank you, said Alice, it s very interesting.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
It can t be helped.,1,Anna Karenina,1,1,0,0,0,0,1,0
"The dissecting room and the slaughter-house furnished many of my materials; and often did my human nature turn with loathing from my occupation, whilst, still urged on by an eagerness which perpetually increased, I brought my work near to a conclusion.",3,Frankenstein,0,0,1,1,0,0,0,0
"I think I could, if I only knew how to begin.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"He felt, too, something swelling in his throat and twitching in his nose, and for the first time in his life he felt on the point of weeping.",1,Anna Karenina,1,1,0,0,0,0,1,0
"It s all her fancy, that: they never executes nobody, you know.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
When are you going?,1,Anna Karenina,1,1,0,0,0,0,1,0
So you ll come?,1,Anna Karenina,1,1,1,0,0,0,1,0
"I dared not ask the fatal question, but I was known, and the officer guessed the cause of my visit.",3,Frankenstein,0,0,1,1,0,0,0,0
"cried the Gryphon, and the Mock Turtle had just begun to repeat it, when a cry of The trial s beginning!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
Marvelous!,1,Anna Karenina,1,1,1,0,1,0,1,0
"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father s dying injunction had forbidden my uncle to allow me to embark in a seafaring life.",3,Frankenstein,0,0,1,1,0,0,0,0
"Oh, yes!",1,Anna Karenina,1,1,1,0,1,0,1,0
said Pestsov angrily.,1,Anna Karenina,1,1,0,0,0,0,0,0
"I agree with you, replied the stranger; we are unfashioned creatures, but half made up, if one wiser, better, dearer than ourselves such a friend ought to be do not lend his aid to perfectionate our weak and faulty natures.",3,Frankenstein,0,0,1,1,0,0,0,0
Spare me!,1,Anna Karenina,1,1,1,0,1,0,1,0
"I spoke of my desire of finding a friend, of my thirst for a more intimate sympathy with a fellow mind than had ever fallen to my lot, and expressed my conviction that a man could boast of little happiness who did not enjoy this blessing.",3,Frankenstein,0,0,1,1,0,0,0,0
Could he be (I shuddered at the conception) the murderer of my brother?,3,Frankenstein,0,0,1,1,0,0,0,0
We may not part until you have promised to comply with my requisition.,3,Frankenstein,0,0,1,1,0,0,0,0
Who cares for you?,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"I d rather not, the Cat remarked.",0,The Adventures of Alice in Wonderland,1,0,0,0,1,1,0,0
a sham!...,1,Anna Karenina,1,1,0,0,0,0,1,0
"Yes ... oh, no, wait a minute!",1,Anna Karenina,1,1,0,0,1,0,1,0
"CHAPTER XXIII The rainy night had ushered in a misty morning half frost, half drizzle and temporary brooks crossed our path gurgling from the uplands.",2,Wuthering Heights,1,0,0,0,0,0,1,1
What do you want?,1,Anna Karenina,1,1,0,0,0,0,1,0
I was oppressed by fatigue and hunger and far too unhappy to enjoy the gentle breezes of evening or the prospect of the sun setting behind the stupendous mountains of Jura.,3,Frankenstein,0,0,1,1,0,0,0,0
"In vapid listlessness I leant my head against the window, and continued spelling over Catherine Earnshaw Heathcliff Linton, till my eyes closed; but they had not rested five minutes when a glare of white letters started from the dark, as vivid as spectres the air swarmed with Catherines; and rousing myself to dispel the obtrusive name, I discovered my candle-wick reclining on one of the antique volumes, and perfuming the place with an odour of roasted calf-skin.",2,Wuthering Heights,0,0,0,0,0,0,1,1
cried Mrs. Linton.,2,Wuthering Heights,1,0,0,0,0,0,1,1
I know him.,1,Anna Karenina,1,1,0,0,0,0,1,0
"Don t mention his mother to me, said the master, angrily.",2,Wuthering Heights,0,0,0,0,0,0,1,1
CHORUS.,0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
"Why, said the Gryphon, you first form into a line along the sea-shore Two lines!",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
He entreated me to write often.,3,Frankenstein,0,0,1,1,0,0,0,0
"This answer so confused poor Alice, that she let the Dormouse go on for some time without interrupting it.",0,The Adventures of Alice in Wonderland,0,0,0,0,1,1,0,0
